5.1,3.5,1.4,0.2,SAD
4.9,3.0,1.4,0.2,SAD
4.7,3.2,1.3,0.2,SAD
4.6,3.1,1.5,0.2,SAD
5.0,3.6,1.4,0.2,SAD
5.4,3.9,1.7,0.4,SAD
4.6,3.4,1.4,0.3,SAD
5.0,3.4,1.5,0.2,SAD
4.4,2.9,1.4,0.2,SAD
4.9,3.1,1.5,0.1,SAD
5.4,3.7,1.5,0.2,SAD
4.8,3.4,1.6,0.2,SAD
4.8,3.0,1.4,0.1,SAD
4.3,3.0,1.1,0.1,SAD
5.8,4.0,1.2,0.2,SAD
5.7,4.4,1.5,0.4,SAD
5.4,3.9,1.3,0.4,SAD
5.1,3.5,1.4,0.3,SAD
5.7,3.8,1.7,0.3,SAD
5.1,3.8,1.5,0.3,SAD
5.4,3.4,1.7,0.2,SAD
5.1,3.7,1.5,0.4,SAD
4.6,3.6,1.0,0.2,SAD
5.1,3.3,1.7,0.5,SAD
4.8,3.4,1.9,0.2,SAD
5.0,3.0,1.6,0.2,SAD
5.0,3.4,1.6,0.4,SAD
5.2,3.5,1.5,0.2,SAD
5.2,3.4,1.4,0.2,SAD
4.7,3.2,1.6,0.2,SAD
4.8,3.1,1.6,0.2,SAD
5.4,3.4,1.5,0.4,SAD
5.2,4.1,1.5,0.1,SAD
5.5,4.2,1.4,0.2,SAD
4.9,3.1,1.5,0.1,SAD
5.0,3.2,1.2,0.2,SAD
5.5,3.5,1.3,0.2,SAD
4.9,3.1,1.5,0.1,SAD
4.4,3.0,1.3,0.2,SAD
5.1,3.4,1.5,0.2,SAD
5.0,3.5,1.3,0.3,SAD
4.5,2.3,1.3,0.3,SAD
4.4,3.2,1.3,0.2,SAD
5.0,3.5,1.6,0.6,SAD
5.1,3.8,1.9,0.4,SAD
4.8,3.0,1.4,0.3,SAD
5.1,3.8,1.6,0.2,SAD
4.6,3.2,1.4,0.2,SAD
5.3,3.7,1.5,0.2,SAD
5.0,3.3,1.4,0.2,SAD
7.0,3.2,4.7,1.4,Non-SAD
6.4,3.2,4.5,1.5,Non-SAD
6.9,3.1,4.9,1.5,Non-SAD
5.5,2.3,4.0,1.3,Non-SAD
6.5,2.8,4.6,1.5,Non-SAD
5.7,2.8,4.5,1.3,Non-SAD
6.3,3.3,4.7,1.6,Non-SAD
4.9,2.4,3.3,1.0,Non-SAD
6.6,2.9,4.6,1.3,Non-SAD
5.2,2.7,3.9,1.4,Non-SAD
5.0,2.0,3.5,1.0,Non-SAD
5.9,3.0,4.2,1.5,Non-SAD
6.0,2.2,4.0,1.0,Non-SAD
6.1,2.9,4.7,1.4,Non-SAD
5.6,2.9,3.6,1.3,Non-SAD
6.7,3.1,4.4,1.4,Non-SAD
5.6,3.0,4.5,1.5,Non-SAD
5.8,2.7,4.1,1.0,Non-SAD
6.2,2.2,4.5,1.5,Non-SAD
5.6,2.5,3.9,1.1,Non-SAD
5.9,3.2,4.8,1.8,Non-SAD
6.1,2.8,4.0,1.3,Non-SAD
6.3,2.5,4.9,1.5,Non-SAD
6.1,2.8,4.7,1.2,Non-SAD
6.4,2.9,4.3,1.3,Non-SAD
6.6,3.0,4.4,1.4,Non-SAD
6.8,2.8,4.8,1.4,Non-SAD
6.7,3.0,5.0,1.7,Non-SAD
6.0,2.9,4.5,1.5,Non-SAD
5.7,2.6,3.5,1.0,Non-SAD
5.5,2.4,3.8,1.1,Non-SAD
5.5,2.4,3.7,1.0,Non-SAD
5.8,2.7,3.9,1.2,Non-SAD
6.0,2.7,5.1,1.6,Non-SAD
5.4,3.0,4.5,1.5,Non-SAD
6.0,3.4,4.5,1.6,Non-SAD
6.7,3.1,4.7,1.5,Non-SAD
6.3,2.3,4.4,1.3,Non-SAD
5.6,3.0,4.1,1.3,Non-SAD
5.5,2.5,4.0,1.3,Non-SAD
5.5,2.6,4.4,1.2,Non-SAD
6.1,3.0,4.6,1.4,Non-SAD
5.8,2.6,4.0,1.2,Non-SAD
5.0,2.3,3.3,1.0,Non-SAD
5.6,2.7,4.2,1.3,Non-SAD
5.7,3.0,4.2,1.2,Non-SAD
5.7,2.9,4.2,1.3,Non-SAD
6.2,2.9,4.3,1.3,Non-SAD
5.1,2.5,3.0,1.1,Non-SAD
5.7,2.8,4.1,1.3,Non-SAD
6.3,3.3,6.0,2.5,None
5.8,2.7,5.1,1.9,None
7.1,3.0,5.9,2.1,None
6.3,2.9,5.6,1.8,None
6.5,3.0,5.8,2.2,None
7.6,3.0,6.6,2.1,None
4.9,2.5,4.5,1.7,None
7.3,2.9,6.3,1.8,None
6.7,2.5,5.8,1.8,None
7.2,3.6,6.1,2.5,None
6.5,3.2,5.1,2.0,None
6.4,2.7,5.3,1.9,None
6.8,3.0,5.5,2.1,None
5.7,2.5,5.0,2.0,None
5.8,2.8,5.1,2.4,None
6.4,3.2,5.3,2.3,None
6.5,3.0,5.5,1.8,None
7.7,3.8,6.7,2.2,None
7.7,2.6,6.9,2.3,None
6.0,2.2,5.0,1.5,None
6.9,3.2,5.7,2.3,None
5.6,2.8,4.9,2.0,None
7.7,2.8,6.7,2.0,None
6.3,2.7,4.9,1.8,None
6.7,3.3,5.7,2.1,None
7.2,3.2,6.0,1.8,None
6.2,2.8,4.8,1.8,None
6.1,3.0,4.9,1.8,None
6.4,2.8,5.6,2.1,None
7.2,3.0,5.8,1.6,None
7.4,2.8,6.1,1.9,None
7.9,3.8,6.4,2.0,None
6.4,2.8,5.6,2.2,None
6.3,2.8,5.1,1.5,None
6.1,2.6,5.6,1.4,None
7.7,3.0,6.1,2.3,None
6.3,3.4,5.6,2.4,None
6.4,3.1,5.5,1.8,None
6.0,3.0,4.8,1.8,None
6.9,3.1,5.4,2.1,None
6.7,3.1,5.6,2.4,None
6.9,3.1,5.1,2.3,None
5.8,2.7,5.1,1.9,None
6.8,3.2,5.9,2.3,None
6.7,3.3,5.7,2.5,None
6.7,3.0,5.2,2.3,None
6.3,2.5,5.0,1.9,None
6.5,3.0,5.2,2.0,None
6.2,3.4,5.4,2.3,None
5.9,3.0,5.1,1.8,None
